frequency,ours,winisd,error,errorPct
10,18,150,-132,-88
15,41,250,-209,-83
18,81,1200,-1119,-93
20,207,1200,-993,-83
22,720,1200,-480,-40
25,1200,400,800,200
28,1200,450,750,167
30,1200,500,700,140
35,1200,700,500,71
40,1200,900,300,33
50,1200,1200,0,0
60,1200,1200,0,0
80,1200,1200,0,0
100,1200,1200,0,0
