frequency,power,limiting
10,562.043833369036,excursion
10.198529059688214,572.5806776014844,excursion
10.400999498130497,583.5302907685475,excursion
10.607489563148642,594.9353558727249,excursion
10.818079056011088,606.8451501741968,excursion
11.032849362273353,619.3165476767075,excursion
11.251883483230737,632.415132707913,excursion
11.475266067995452,646.2164161360189,excursion
11.703083446210574,660.8071342774094,excursion
11.935423661413465,676.2865949726587,excursion
12.172376505061552,692.7680155630749,excursion
12.414033551233631,710.379774445322,excursion
12.660488192020066,729.2664738937043,excursion
12.911835673615617,749.5896913703394,excursion
13.168173133128782,771.5282863436565,excursion
13.42959963612195,795.2781381645732,excursion
13.696216214896797,821.0512260602075,excursion
13.968125907539791,849.0740294374741,excursion
14.245433797742837,879.5853222580831,excursion
14.528247055414496,912.8335451013189,excursion
14.81667497809745,949.0740381144102,excursion
15.110829033208207,988.5664784867859,excursion
15.410822901115427,1031.5728647899289,excursion
15.716772519073432,1078.3563217647554,excursion
16.028796126027956,1129.180878469849,excursion
16.347014308311397,1184.3122318944284,excursion
16.671550046245283,1244.019382770756,excursion
17.002528761667893,1308.5769466933532,excursion
17.340078366405468,1378.2679114829857,excursion
17.68432931170572,1453.3866249011803,excursion
18.03541463865268,1534.2418397561444,excursion
18.393470029582566,1621.159698724147,excursion
18.758633860520195,1714.4865949796092,excursion
19.13104725465666,1814.5918888010608,excursion
19.51085413688843,1921.8704917520681,excursion
19.898201289439477,2036.7453494533402,excursion
20.293238408587392,2159.6698637840855,excursion
20.696118162515965,2291.130298464566,excursion
21.106996250316,2431.6482109675785,excursion
21.526031462157803,2581.7829505740733,excursion
21.953385740657904,2742.1342584844497,excursion
22.38922424346446,2913.3450020560504,excursion
22.83371540708482,3096.104071904921,excursion
23.287031011980506,3291.149467981478,excursion
23.749346248954385,3499.2715988444456,excursion
24.22083978685586,3721.316817176249,excursion
24.7016938416302,3958.191214027973,excursion
25.192094246738698,4210.864694267312,excursion
25.69223052497689,4480.375356147314,excursion
26.20229596171854,4767.834198747235,excursion
26.72248767961377,5074.430182203736,excursion
27.253006714770134,5401.435667108262,excursion
27.794058094446125,5750.212261163886,excursion
28.345850916287123,6122.217103152349,excursion
28.908598429134404,6519.009616446905,excursion
29.48251811543843,1200,thermal
30.067831775308306,1200,thermal
30.664765612229843,1200,thermal
31.273550320485395,1200,thermal
31.894421174309198,1200,thermal
32.52761811881275,1200,thermal
33.17338586271527,1200,thermal
33.831973972915186,1200,thermal
34.503636970939084,1200,thermal
35.188634431305495,1200,thermal
35.887231081841435,1200,thermal
36.5996969059906,1200,thermal
37.3263072471526,1200,thermal
38.067342915093654,1200,thermal
38.82309029446989,1200,thermal
39.59384145550507,1200,thermal
40.37989426686564,1200,thermal
41.181552510776676,1200,thermal
41.99912600042321,1200,thermal
42.832930699682294,1200,thermal
43.683288845232134,1200,thermal
44.55052907108539,1200,thermal
45.4349865355949,1200,thermal
46.33700305098074,1200,thermal
47.25692721542885,1200,thermal
48.1951145478122,1200,thermal
49.15192762508649,1200,thermal
50.12773622241368,1200,thermal
51.12291745606712,1200,thermal
52.13785592917427,1200,thermal
53.1729438803521,1200,thermal
54.22858133529418,1200,thermal
55.305176261366334,1200,thermal
56.40314472527237,1200,thermal
57.522911053849,1200,thermal
58.66490799805398,1200,thermal
59.82957690020887,1200,thermal
61.01736786456313,1200,thermal
62.228739931243254,1200,thermal
63.464161253656506,1200,thermal
64.72410927941543,1200,thermal
66.00907093485543,1200,thermal
67.31954281321435,1200,thermal
68.65603136654917,1200,thermal
70.01905310146171,1200,thermal
71.40913477871098,1200,thermal
72.82681361678759,1200,thermal
74.27263749953059,1200,thermal
75.74716518786511,1200,thermal
77.25096653574461,1200,thermal
78.78462271037928,1200,thermal
80.34872641683756,1200,thermal
81.94388212710555,1200,thermal
83.57070631369523,1200,thermal
85.22982768788896,1200,thermal
86.92188744271553,1200,thermal
88.6475395007482,1200,thermal
90.40745076682398,1200,thermal
92.2023013857786,1200,thermal
94.03278500529939,1200,thermal
95.89960904399601,1200,thermal
97.8034949647932,1200,thermal
99.74517855375134,1200,thermal
101.72541020442227,1200,thermal
103.74495520785052,1200,thermal
105.80459404833152,1200,thermal
107.90512270504232,1200,thermal
110.04735295965972,1200,thermal
112.23211271008562,1200,thermal
114.46024629040106,1200,thermal
116.73261479717247,1200,thermal
119.05009642223546,1200,thermal
121.4135867920853,1200,thermal
123.82399931400585,1200,thermal
126.28226552907016,1200,thermal
128.7893354721486,1200,thermal
131.34617803906423,1200,thermal
133.95378136103778,1200,thermal
136.61315318656648,1200,thermal
139.32532127088365,1200,thermal
142.0913337731504,1200,thermal
144.91225966153314,1200,thermal
147.78918912632292,1200,thermal
150.72323400125626,1200,thermal
153.71552819319996,1200,thermal
156.76722812036718,1200,thermal
159.87951315923354,1200,thermal
163.05358610032485,1200,thermal
166.29067361305383,1200,thermal
169.59202671978568,1200,thermal
172.95892127931535,1200,thermal
176.39265847994247,1200,thermal
179.8945653423353,1200,thermal
183.46599523237862,1200,thermal
187.10832838420316,1200,thermal
190.82297243359824,1200,thermal
194.61136296201357,1200,thermal
198.4749640513625,1200,thermal
202.41526884983932,1200,thermal
206.433800148969,1200,thermal
210.5321109721131,1200,thermal
214.7117851746598,1200,thermal
218.97443805613003,1200,thermal
223.321716984434,1200,thermal
227.75530203252185,1200,thermal
232.27690662767392,1200,thermal
236.88827821368199,1200,thermal
241.59119892617412,1200,thermal
246.38748628135042,1200,thermal
251.2789938783885,1200,thermal
256.26761211579606,1200,thermal
261.35526892198527,1200,thermal
266.54393050034963,1200,thermal
271.83560208913326,1200,thermal
277.23232873638665,1200,thermal
282.73619609030743,1200,thermal
288.3493312052707,1200,thermal
294.07390336386163,1200,thermal
299.9121249152285,1200,thermal
305.86625213007983,1200,thermal
311.93858607265435,1200,thermal
318.131473490002,1200,thermal
324.4473077189215,1200,thermal
330.88852961090237,1200,thermal
337.4576284754294,1200,thermal
344.15714304201373,1200,thermal
350.98966244132487,1200,thermal
357.9578272058007,1200,thermal
365.0643302901213,1200,thermal
372.3119181119421,1200,thermal
379.7033916132898,1200,thermal
387.24160734303086,1200,thermal
394.92947856082753,1200,thermal
402.76997636301155,1200,thermal
410.76613083081065,1200,thermal
418.92103220137113,1200,thermal
427.2378320620268,1200,thermal
435.7197445682776,1200,thermal
444.3700476859503,1200,thermal
453.19208445801996,1200,thermal
462.18926429657944,1200,thermal
471.36506430045847,1200,thermal
480.7230305990027,1200,thermal
490.26677972253134,1200,thermal
499.99999999999994,1200,thermal
